Looking For Landers, Hopper, Impactors					Only landers that have made it to the Moon - including crashed landers							
												
							Lander Lunar Location (Long-Lat) 					
Surveyor 6 	Lander 	USA 	November 17 1967	December 14, 1967	Gather data about the lunar surface that would be needed for the rewed Apollo Moon missions - alpha back scatter device used to determine lunar soil was consisted of Basaltic rock 	Virtually same as Surveyor 7 - relaunched on Moon and soft touch downed on Lunare surface - first lunar liftoff	0.46	-1.37	Sinus Medii	The spacecraft accomplished all planned objectives. The successful completion of this mission satisfied the Surveyor program's obligation to the Apollo project. - Landed near the original target site for Surveyor 4, to accomplish data collection that it failed to collect	Surveyor 6 - Wikipedia	Surveyor 6, launched by the USA on November 17, 1967, and operational until December 14, 1967, continued the mission of gathering essential lunar surface data for the upcoming Apollo Moon landings. The spacecraft successfully soft-landed in the Sinus Medii region and was equipped with an alpha backscatter device that confirmed the lunar soil was primarily composed of basaltic rock. A key achievement of Surveyor 6 was its first lunar liftoff, as it successfully launched from the Moon’s surface, marking a significant milestone for future lunar exploration. The mission also replicated the objectives of Surveyor 4, which had failed to complete its data collection. By landing near Surveyor 4's intended site, Surveyor 6 was able to accomplish the same surface imaging and soil analysis, including thermal and radar reflectivity studies. The mission successfully completed all planned objectives, fulfilling the Surveyor program’s contribution to the Apollo program by providing vital data on lunar surface conditions, crucial for the planning of crewed missions. The spacecraft's coordinates were 0.46, -1.37.
Surveyor 7 	Lander 	USA 	January 10, 1968	February 21, 1968	Gather data about the lunar surface that would be needed for the rewed Apollo Moon missions - alpha back scatter device used to determine lunar soil was consisted of Basaltic rock 	Virtually same as Surveyor 6 - Landed further from Maria than other Surveyor missions to provide more varied data and terrain images of lunar surface 	-41.01	-11.41	Outer rim of Crater Tyco 	Spacecraft accomplished all planned objectives - final probe in the surveyor missions 	Surveyor 7 - Wikipedia	Surveyor 7, launched by the USA on January 10, 1968, and operational until February 21, 1968, was the final mission in the Surveyor program. Its main objective was to gather data about the lunar surface for the upcoming Apollo Moon missions. Like its predecessor, Surveyor 6, it was equipped with an alpha backscatter device, which confirmed that the lunar soil in the area consisted primarily of basaltic rock. Surveyor 7 landed on the outer rim of the Tycho Crater, further from the lunar maria compared to other Surveyor missions, in order to provide more varied terrain images and a broader view of the Moon’s surface. The spacecraft successfully completed all planned objectives, including surface imaging, soil composition analysis, and collecting thermal and radar reflectivity data. Its successful operation marked the completion of the Surveyor program, providing crucial data that helped to prepare for the Apollo missions. The spacecraft's coordinates were -41.01, -11.41.
Apollo 11 	Lunar Lander 	USA 	July 20, 1969	July 21, 1969	First Manned Mission to the Moon - Complete a crewed Moon landing mission - return lunar surface soil - 	Succesful landing and relaunch - Lunar material - Lunar Surface Experiments - 1 EVA(2hr 30 min) - returned 21.55 Kilograms	0.67416	23.47314	Tranquility Base - mare Tranquillitatis	First time Humanity has stepped foot on another celestial body - won the space race - proved space flight is feasible - Open the door for further Lunar exploration - relaxed the time line push for future Apollo missions	Apollo 11 - Wikipedia	Apollo 11, launched by the USA on July 16, 1969, was the first manned mission to land on the Moon. On July 20, 1969, astronauts Neil Armstrong and Buzz Aldrin successfully landed the Lunar Module, "Eagle," on the Moon's surface in the Sea of Tranquility (Mare Tranquillitatis), while Michael Collins remained in lunar orbit aboard the Command Module, "Columbia." Armstrong became the first human to step onto the lunar surface, followed by Aldrin, marking humanity's first footsteps on another celestial body. The mission's primary objectives were to complete a crewed Moon landing, collect lunar soil and rock samples, and perform surface experiments. During their 2.5-hour EVA (extravehicular activity), the astronauts conducted scientific experiments, deployed equipment, and collected 21.55 kilograms of lunar material. Apollo 11 proved that space flight was feasible, solidifying the United States' lead in the space race and opening the door for further lunar exploration. The success of the mission relaxed the timeline for subsequent Apollo missions, demonstrating the technical capability and ambition for future space exploration. The mission’s coordinates were 0.67416, 23.47314.
Apollo 12 	Lunar Lander 	USA 	November 19, 1969	November 20, 1969	Back up fisrt landing on Moon - Second Manned Mission to the Moon - Human Geological surveying - Precision landing - Surveyor 3 Visit and Analysis 	Succesfully landed on the Moon - Precision landing with in walking distance of Surveyor 3 - Astronauts trained in geology for further Lunar geological analysis - visit and partial disassembly of Surveyor 3 for further analysis of how materials handle the Lunar solar radiation and wear - Deployed ALSEP Kits (Apollo Lunar Surface Experiments Packages): Passive Lunar Seimic Experiment - Lunar Surface Magnometer - Medium-Energy Solar Wind - Suprathermal Ion Detection - Heat Flow Experiment - Low Energy Solar Wind - Active Seismic Experiment - SNAP-27 Isotopic power system - 2 EVAS (7hr 45min) - Returned 34.35 Kg	-3.01239	-23.42157	Oceanus Procellarum	Prooved NASA was capable of precise landing on the Moon for future scientific missions - better and further analysis of Lunar wear on NASA instruments	Apollo 12 - Wikipedia	Apollo 12, the second manned mission to the Moon, was launched by the USA on November 14, 1969, with the primary objectives of achieving a backup landing to Apollo 11, conducting human geological surveying, and performing a precision landing near Surveyor 3. The mission successfully landed on the Moon on November 19, 1969, with a precision landing within walking distance of the Surveyor 3 spacecraft, which had been on the Moon since 1967. Astronauts Charles "Pete" Conrad and Alan L. Bean were trained in geology to conduct detailed surveys of the lunar surface. They visited Surveyor 3, partially disassembling it to analyze how the spacecraft's materials had weathered lunar solar radiation over the years. Apollo 12 also deployed the Apollo Lunar Surface Experiments Packages (ALSEP), including scientific instruments such as the Passive Lunar Seismic Experiment, Lunar Surface Magnetometer, and Active Seismic Experiment, among others. The astronauts performed two EVAs (extravehicular activities) totaling 7 hours and 45 minutes, collecting 34.35 kilograms of lunar samples. The mission's success confirmed NASA’s ability to execute precision landings on the Moon, which was vital for future scientific missions. The data gathered, including information about lunar wear on spacecraft materials, significantly advanced lunar exploration and instrumentation design for subsequent missions. The landing site was located at -3.01239, -23.42157 in Oceanus Procellarum.
Apollo 14 	Lunar Lander 	USA 	February 5, 1971	February 6, 1971	Land at Apollo 13 site - Collect Lunar surface material - deploy scientific experiments across the surface - Geological Surveys of crater 	Succesfully landed on the Moon - deployed scientific survey kits (ALSEP) -  2 EVAs (9hr 22min) -  returned 42.8 Kg of samples 	-3.6453	-17.47136	Fra Mauro	Last of missions landing at specific scientific sites for short EVAs - Saved the Apollo program by succesfully landing on the Moon after experiencing malfunctions during flight - Continue proof of NASA's abilities - Landing site was the original landing site that Apollo 13 was meant to land at	Apollo 14 - Wikipedia	Apollo 14, the eighth crewed mission of NASA’s Apollo program, was launched by the USA on January 31, 1971, and successfully landed on the Moon on February 5, 1971. Its primary objectives were to land at the site originally intended for Apollo 13 (the Fra Mauro region), collect lunar surface samples, and deploy scientific experiments. The mission faced numerous challenges, including a malfunction in the spacecraft during flight, but it successfully landed and completed its objectives. Astronauts Alan Shepard and Edgar Mitchell conducted two extravehicular activities (EVAs) totaling 9 hours and 22 minutes. They deployed the Apollo Lunar Surface Experiments Packages (ALSEP) and conducted geological surveys of the crater, gathering data about the Moon's history and surface composition. They collected 42.8 kilograms of lunar samples, which contributed to further understanding of the Moon’s geological makeup. This mission marked the last of the Apollo landings focused on specific scientific sites for relatively short EVAs. Despite the difficulties experienced in-flight, Apollo 14 succeeded in continuing the Apollo program and reaffirming NASA’s capabilities. The landing site at Fra Mauro (coordinates -3.6453, -17.47136) was particularly significant, as it was the one intended for Apollo 13 before that mission was aborted.
Apollo 15 	Lunar Lander and Lunar Roving Vehicle 	USA 	July 30, 1971	August 2, 1971	Further scientific understanding of Lunar Geography - Deploy rover to explore more of the Lunar surface and geology - provide live feed back to Earth - deploy ALSEP  - Extended Stay on the Moon 	First rover to drive on the Lunar surface - Wider expanse of geological data collected - Genesis Rock (Early Lunar crust - Lunar geological history) - Lunar Surface Core samples Gallileo Test between a feather and hammer -  3 EVAs (19 hr 7 min) - 77 Kg of Samples	20.1908	30.7717	Hadley–Apennine	First long stay mission - focussed more on collecting geological data about Lunar surface - Prooved Gallileo's theory - Prooved succesful landing and testing of Lunar Rover and entire system set up - prooved longer stays on Lunar Surface are feasible 	Apollo 15 - Wikipedia	Apollo 15, launched on July 26, 1971, and landing on the Moon on July 30, 1971, was a groundbreaking mission that significantly advanced scientific understanding of lunar geography. The mission deployed the first Lunar Roving Vehicle (LRV), allowing astronauts to explore a much larger area of the Moon’s surface than previous missions. This expanded exploration led to the collection of crucial geological data, including the Genesis Rock, which provided insights into the early lunar crust and the Moon’s geological history. During the mission, astronauts conducted a famous Galileo test, dropping a feather and a hammer simultaneously to prove that objects fall at the same rate in a vacuum. The mission included three extravehicular activities (EVAs), totaling 19 hours and 7 minutes, during which 77 kilograms of lunar samples were collected. Apollo 15 also deployed the Apollo Lunar Surface Experiments Package (ALSEP) and marked the first long-duration stay on the Moon, focusing on geological exploration. The successful use of the Lunar Rover and the extended stay demonstrated the feasibility of longer manned missions on the lunar surface. The landing site, located in the Hadley-Apennine region (20.1908° N, 30.7717° E), was chosen for its rich geological features, furthering our understanding of the Moon.
Apollo 16 	Lunar Lander and Lunar Roving Vehicle 	USA 	April 21, 1972	April 24, 1972	Further scientific understanding of Lunar Geography - Deploy rover to explore more of the Lunar surface and geology - provide live feed back to Earth - deploy ALSEP - 3 EVAs  - Extended Stay on the Moon - biological experiments 	Seconf roever to drive on Lunar surface - largest Lunar rock returned by any Apollo mission - wider expanse of geological sampling data - micrometeorite affects on Lunar surface - no clear finding of effects from Cosmic rays on organics - 3 EVAs (20h 14m) - 95.71 Kg of samples 	-8.97301	15.50019	Descartes Highlands	Second Long stay mission - further geological collection for Lunar history - proved succesful and cleared way from Apollo 17 - technical malfunctions during mission were able to be routed and worked around to ensure successful mission - further backed NASA technilogical capabilities 	Apollo 16 - Wikipedia	Apollo 16, launched on April 16, 1972, and landing on the Moon on April 21, 1972, was a critical mission in furthering scientific understanding of lunar geography and geology. It deployed the second Lunar Roving Vehicle (LRV), enabling astronauts to explore more of the lunar surface, collect a broader range of geological samples, and conduct biological experiments. The mission included three extravehicular activities (EVAs), totaling 20 hours and 14 minutes, during which 95.71 kilograms of samples were collected. Apollo 16 returned the largest lunar rock of any Apollo mission and provided valuable data on micrometeorite impacts on the lunar surface, though no conclusive effects from cosmic rays on organics were found. The mission also deployed the Apollo Lunar Surface Experiments Package (ALSEP) and provided live feed back to Earth, further enhancing our understanding of the Moon’s surface. The landing site, located in the Descartes Highlands (8.97301° S, 15.50019° E), was chosen for its unique geological features. Despite technical malfunctions during the mission, the crew was able to work around them, proving NASA's ability to handle challenges in space exploration. Apollo 16 marked the second long-duration mission to the Moon, paving the way for the final Apollo landing, Apollo 17, and showcasing NASA’s technological capabilities.
Apollo 17 	Lunar Lander and Lunar Roving Vehicle 	USA 	Decmber 11, 1972 	December 14, 1972	Strong push for scientific experiments - included a biological experiment with mice - sample lunar highland material (older than Mare Imbrium) - investigate realtively recent volcanic activity - more extensive geology missions and training as all astronauts had done a lunar mission before - Last Lunar Mission - Lunar Rover for further exploration - ALSEP -  	Biological experiments gave no clear answer as to the affects of cosmic rays on organics - geological rocks collected provided further advancments into understanding the Moons past geological activities - Longest stay on the moon - Longest EVAs on the Moon - Most orbits about the Moon - Last manned mission to the Moon - 3 EVAs (22h 3m) - 115 Kg of Lunar Sampler	20.1908	30.7717	Taurus–Littrow	Was the final lunar mission, concluding all work from missions leading up to the succesful landings and operations of the Apollo missions - Ended the Apollo era - shifted focus to Earth Orbit Stations - NASA budget and public sponsorship slowly dropped off 	Apollo 17 - Wikipedia	Apollo 17, launched on December 7, 1972, and landing on the Moon on December 11, 1972, was the final mission of the Apollo program and marked the last time humans set foot on the lunar surface. The mission focused heavily on scientific experiments, including a biological experiment with mice, which aimed to study the effects of cosmic rays on organics, though no clear answers were found. The crew sampled lunar highland material, older than the Mare Imbrium, and investigated relatively recent volcanic activity on the Moon. Apollo 17 featured more extensive geological surveys, with all astronauts having prior lunar mission experience, and included the use of the Lunar Roving Vehicle (LRV) for further exploration. The mission also deployed the Apollo Lunar Surface Experiments Package (ALSEP) to gather additional data. Apollo 17 set records for the longest stay on the Moon, the longest extravehicular activities (EVAs), and the most orbits around the Moon. Over the course of three EVAs (totaling 22 hours and 3 minutes), the astronauts collected 115 kilograms of lunar samples from the Taurus–Littrow valley. This mission concluded the Apollo program, wrapping up nearly a decade of lunar exploration and marking the end of the Apollo era. The focus of NASA subsequently shifted to Earth orbit stations, with declining budgets and public support signaling the end of manned lunar missions for the time being.
Luna 2	Impactor	USSR	September 12, 1959	September 13, 1959	Impact the moon and measure radiation and attempt to observe magnetism to determine the (lack of) presence of a magnetic field.	First measurement of solar wind from outside the Earth's magnetosphere, and determined a lack of both radiation and a magnetic field on the Moon.	29.1,	0	impacted the Moon's surface east of Mare Imbrium near the craters Aristides, Archimedes, and Autolycus.	N/A	Luna 2 - Wikipedia	Luna 2, launched by the USSR on September 12, 1959, was the first spacecraft to impact the Moon, marking a significant milestone in space exploration. Its primary objectives were to measure radiation and attempt to observe magnetism in order to determine the presence or absence of a magnetic field on the Moon. Luna 2 successfully made the first measurement of solar wind from outside Earth's magnetosphere, and it revealed that the Moon lacked both a magnetic field and significant radiation. The spacecraft impacted the Moon's surface east of Mare Imbrium, near the craters Aristides, Archimedes, and Autolycus, providing crucial data that laid the groundwork for future lunar missions.
Luna 7	Lander 	USSR	October 4, 1959	October 22, 1959	Make a soft landing on the Moon to take pictures and radiation readings	Nothing, as the lander failed to soft land and impacted the Moon, destroying the ability to perform mission objectives	9.8	-47.8	west of the Kepler crater	First spacecraft to impact the moon, and forced the Americans to re-evaluate their belief that their guidance systems were superior to those of the USSR.	Luna 7 - Wikipedia	Luna 7, a Soviet lander, was launched on October 4, 1959, with the goal of making a soft landing on the Moon to take pictures and radiation readings. However, the mission failed as the lander impacted the lunar surface instead of landing softly, preventing it from completing its scientific objectives. Despite this failure, Luna 7 became the first spacecraft to impact the Moon, marking a significant event in lunar exploration. The mission also forced the United States to re-evaluate its belief that its guidance systems were superior to those of the Soviet Union. Luna 7 impacted the Moon west of the Kepler crater at coordinates 9.8° latitude and -47.8° longitude.
Luna 8	Lander 	USSR	December 3, 1965	December 6, 1965	11th USSR attempt to land softly on the Moon - Test guidance system, science instruments, and flight trajectory	Nothing, as the lander failed to soft land and impacted the Moon, destroying the ability to perform mission objectives	9.1	-63.3	Oceanus Procellarum	10th consecutive failure in the Ye-6 program	Luna 8 - Wikipedia	Luna 8, a Soviet lander, was launched on December 3, 1965, as the 11th attempt by the USSR to achieve a soft landing on the Moon. The mission aimed to test the guidance system, science instruments, and flight trajectory. However, the lander failed to land softly and impacted the Moon, preventing it from completing any scientific objectives. This marked the 10th consecutive failure in the Ye-6 program. Luna 8 impacted the lunar surface in Oceanus Procellarum at coordinates 9.1° latitude and -63.3° longitude, further hindering the USSR's efforts to land on the Moon.
Luna 9	Lander 	USSR	January 31, 1966	February 3, 1966	Acheive soft landing on the Moon's surface - Take and return pictures of the surface	Returned the first pictures ever taken from the surface of another celestial body	7.08	-64.37	Planitia Descensus	Another failure for the Ye-6 program, though the landing was nearly successful.	Luna 9 - Wikipedia	Luna 9, a Soviet lander, was launched on January 31, 1966, with the goal of achieving a soft landing on the Moon and returning pictures of its surface. While the mission ultimately succeeded in returning the first-ever pictures taken from the surface of another celestial body, the landing was nearly unsuccessful, marking another failure for the Ye-6 program. The lander impacted the lunar surface at coordinates 7.08° latitude and -64.37° longitude in Planitia Descensus. Despite the soft landing's near failure, Luna 9's success in returning valuable images was a significant achievement in space exploration.
Luna 13	Lander 	USSR	December 21, 1966	December 28, 1966	Measure physical properties (such as density and hardness) of the surface of the Moon - Determine how reflective the surface of the Moon is towards cosmic rays - Determine temperature of the Moon- Return more imagery of the surface of the Moon 	Found that the amount of radiation on the Moon would not be harmful to humans - Found the noon temperature on the Moon to be around 117 degrees celsius - Found the regolith density to be 800 kg/m^3	18.87	-62.05	Oceanus Procellarum	Demonstrated the success of a soft Moon landing - Returned first pictures ever taken from the surface of another celestial body - Images were published accross the globe after being intercepted by British scientists	Luna 13 - Wikipedia	Luna 13, a Soviet lander launched on December 21, 1966, aimed to measure the physical properties of the Moon's surface, including its density and hardness, assess its reflectivity towards cosmic rays, and determine its temperature. The mission successfully demonstrated the feasibility of a soft lunar landing and returned critical scientific data. Notably, Luna 13 found that the radiation levels on the Moon would not be harmful to humans and measured the Moon's noon temperature at around 117°C. It also determined that the regolith density was approximately 800 kg/m^3. The lander returned the first pictures ever taken from the surface of another celestial body, and these images were widely published after being intercepted by British scientists. Luna 13 impacted the Moon's surface at 18.87° latitude and -62.05° longitude in Oceanus Procellarum.
Luna 16	Lander and Sample Return	USSR	September 21, 1970	September 24, 1970	Take more instrument readings of soil composition, radiation, and temperature on the Moon - Return from the moon with soil samples for study on Earth	Higher quality images of the surface returned - Returned 101 grams of dark basalt samples from the Moon, drilled from a depth of 35 cm	-0.5137	56.3638	Mare Fecunditatis	Became the third spacecraft to successfully land on the Moon intact - Determined that the raditation levels on the surface of the Moon were not harmful to humans, helping to pave the way for human exploration of the Moon	Luna 16 - Wikipedia	Luna 16, a Soviet lander and sample return mission launched on September 21, 1970, was tasked with taking instrument readings of the Moon's soil composition, radiation, and temperature, while also returning lunar soil samples to Earth for further study. The mission successfully returned 101 grams of dark basalt samples, which were drilled from a depth of 35 cm. It provided higher-quality images of the lunar surface and confirmed that radiation levels on the Moon's surface were not harmful to humans, an important finding for future human exploration. Luna 16 became the third spacecraft to successfully land on the Moon intact, landing in Mare Fecunditatis at coordinates -0.5137° latitude and 56.3638° longitude.
Luna 17	Lander and Rover	USSR	November 10, 1970	September 14, 1971	Deploy the Lunkhod 1 Rover, test the feasibility of controlling a vehicle remotely from Earth, perform soil and temperature analysis from the rover	Transmitted more photographs - Observed how micrometeorites impacted erosion on the lunar surface - Moved around the Mare Imbrium and took readings in various places	38.28	-35	Mare Imbrium	First robotic sampling mission to the Moon - Proved unmanned missions could return samples from the Moon back to the Earth - First landing made during the lunar night - corroborated soil returns by Apollo - paved way for future landers (Luna 20 and 24) to perform automated soil collection and return	Luna 17 - Wikipedia	Luna 17, a Soviet lander and rover mission, was launched on November 10, 1970, with the goal of deploying the Lunokhod 1 rover, testing remote vehicle control from Earth, and conducting soil and temperature analysis from the rover. The mission successfully transmitted numerous photographs and observed how micrometeorites impacted lunar surface erosion. The rover moved across the Mare Imbrium, taking readings in various locations. Luna 17 marked the first robotic sampling mission to the Moon and demonstrated that unmanned missions could return samples to Earth. It was also the first mission to land during the lunar night, and its findings corroborated the soil returns from the Apollo missions. The success of Luna 17 paved the way for future automated lunar landers, such as Luna 20 and Luna 24, to perform soil collection and return missions. The lander’s coordinates were 38.28° latitude and -35° longitude, located in the Mare Imbrium region.
